house_seat,state,state_seat,priority_value
183,Ohio,7,1785058
184,Kentucky,3,1776127
185,Georgia,6,1776002
186,North Carolina,6,1746465
187,Texas,15,1743687
188,California,22,1737307
189,Missouri,4,1735364
190,Illinois,8,1719075
191,Pennsylvania,8,1701773
192,New York,12,1690386
193,Maryland,4,1671409
194,California,23,1660054
195,Florida,12,1645101
196,Wisconsin,4,1644937
197,Texas,16,1631069
198,New Jersey,6,1608022
199,California,24,1589381
200,Oregon,3,1571187
201,New York,13,1554929
202,Ohio,8,1545905
203,Oklahoma,3,1537007
204,Minnesota,4,1534273
205,Texas,17,1532123
206,Michigan,7,1529397
207,California,25,1524480
208,Illinois,9,1516082
209,Florida,13,1513273
210,Washington,5,1510099
211,Georgia,7,1500996
212,Pennsylvania,9,1500823
213,North Carolina,7,1476032
214,Virginia,6,1467483
215,Massachusetts,5,1466781
216,California,26,1464673
217,Connecticut,3,1462194
218,New Mexico,2,1461783
219,Colorado,4,1456346
220,Indiana,5,1453798
221,Texas,18,1444499
222,New York,14,1439584
223,Arizona,5,1433923
224,Tennessee,5,1425590
225,California,27,1409383
226,Florida,14,1401019
227,Alabama,4,1386501
228,Texas,19,1366360
229,Ohio,9,1363360
230,New Jersey,7,1359027
231,California,28,1358115
232,Illinois,10,1356025
233,Missouri,5,1344207
234,Pennsylvania,10,1342377
235,South Carolina,4,1341177
236,New York,15,1340180
237,Michigan,8,1324497
238,West Virginia,2,1315088
239,Louisiana,4,1314616
240,California,29,1310447
241,Florida,15,1304277
242,Georgia,8,1299901
243,Texas,20,1296242
244,Nebraska,2,1295296
245,Maryland,5,1294667
246,North Carolina,8,1278281
247,Wisconsin,5,1274163
248,California,30,1266012
249,Kentucky,4,1255912
250,New York,16,1253624
251,Iowa,3,1246703
252,Virginia,7,1240250
253,Washington,6,1232991
254,Texas,21,1232973
255,Illinois,11,1226571
256,California,31,1224492
257,Florida,16,1220040
258,Ohio,10,1219426
259,Mississippi,3,1215861
260,Pennsylvania,11,1214226
261,Massachusetts,6,1197622
262,Arkansas,3,1194628
263,Minnesota,5,1188443
264,Indiana,6,1187021
265,California,32,1185609
266,New York,17,1177574
267,New Jersey,8,1176952
268,Texas,22,1175593
269,Arizona,6,1170793
270,Kansas,3,1169147
271,Michigan,9,1168096
272,Tennessee,6,1163989
273,California,33,1149120
274,Georgia,9,1146405
275,Florida,17,1146028
276,Utah,3,1131160
277,Colorado,5,1128081
278,North Carolina,9,1127338
279,Texas,23,1123318
280,Illinois,12,1119701
281,California,34,1114810
282,Idaho,2,1112632
283,Oregon,4,1110997
284,New York,18,1110228
285,Pennsylvania,12,1108431
286,Nevada,3,1106121
287,Ohio,11,1103013
288,Missouri,6,1097541
289,Oklahoma,4,1086828
290,California,35,1082490
291,Florida,18,1080485
292,Texas,24,1075495
293,Virginia,8,1074088
294,Alabama,5,1073979
295,Maryland,6,1057092
296,California,36,1051991
297,New York,19,1050170
298,Michigan,10,1044777
299,Washington,7,1042067
300,Wisconsin,6,1040350
301,South Carolina,5,1038872
302,New Jersey,9,1037974
303,Connecticut,4,1033927
304,Texas,25,1031579
305,Illinois,13,1029975
306,Georgia,10,1025375
307,California,37,1023164
308,Florida,19,1022037
309,Pennsylvania,13,1019608
310,Louisiana,5,1018297
311,Massachusetts,7,1012175
312,North Carolina,10,1008322
313,Ohio,12,1006908
314,Indiana,7,1003216
315,New York,20,996279
316,California,38,995875
317,Texas,26,991109
318,Arizona,7,989501
319,Tennessee,7,983750
320,Kentucky,5,972825
321,Minnesota,6,970360
322,California,39,970004
323,Florida,20,969589
324,Hawaii,2,966517
325,Texas,27,953695
326,Illinois,14,953571
327,New York,21,947650
328,Virginia,9,947256
329,California,40,945443
330,Michigan,11,945036
331,Pennsylvania,14,943974
332,Maine,2,942626
333,New Hampshire,2,934403
334,New Jersey,10,928392
335,Missouri,7,927591
336,Georgia,11,927487
337,Ohio,13,926221
338,Florida,21,922263
339,California,41,922095
340,Colorado,6,921074
341,Texas,28,919003
342,North Carolina,11,912061
343,New York,22,903549
344,Washington,8,902457
345,California,42,899872
346,Maryland,7,893405
347,Illinois,15,887727
348,Texas,29,886748
349,Iowa,4,881552
350,Florida,22,879344
351,Wisconsin,7,879256
352,Pennsylvania,15,878792
353,California,43,878696
354,Alabama,6,876901
355,Massachusetts,8,876569
356,Indiana,8,868810
357,New York,23,863371
358,Michigan,12,862696
359,Oregon,5,860574
360,Mississippi,4,859744
361,California,44,858493
362,Ohio,14,857514
363,Arizona,8,856933
364,Texas,30,856680
365,Tennessee,8,851953
366,South Carolina,6,848235
367,Virginia,10,847252
368,Georgia,12,846676
369,Arkansas,4,844730
370,New Mexico,3,843961
371,Oklahoma,5,841853
372,Florida,23,840242
373,New Jersey,11,839762
374,California,45,839199
375,North Carolina,12,832594
376,Louisiana,6,831436
377,Illinois,16,830392
378,Texas,31,828584
379,Kansas,4,826712
380,New York,24,826615
381,Pennsylvania,16,822035
382,California,46,820753
383,Minnesota,7,820104
384,Florida,24,804470
385,Missouri,8,803318
386,California,47,803100
387,Texas,32,802273
388,Connecticut,5,800876
389,Utah,4,799851
390,Ohio,15,798302
391,Washington,9,795892
392,Kentucky,6,794308
393,Michigan,13,793565
394,New York,25,792861
395,California,48,786191
396,Nevada,4,782146
397,Illinois,17,780018
398,Georgia,13,778829
399,Colorado,7,778450
400,Texas,33,777582
401,Maryland,8,773712
402,Massachusetts,9,773061
403,Pennsylvania,17,772167
404,Florida,25,771621
405,California,49,769979
406,New Jersey,12,766595
407,Virginia,11,766368
408,Indiana,9,766219
409,North Carolina,13,765875
410,New York,26,761756
411,Wisconsin,8,761458
412,West Virginia,3,759266
413,Arizona,9,755744
414,California,50,754422
415,Texas,34,754365
416,Tennessee,9,751352
417,Nebraska,3,747839
418,Ohio,16,746743
419,Rhode Island,2,746172
420,Florida,26,741349
421,Alabama,7,741116
422,California,51,739482
423,Illinois,18,735408
424,Michigan,14,734699
425,New York,27,733000
426,Texas,35,732495
427,Pennsylvania,18,728006
428,California,52,725121
429,Georgia,14,721055
430,South Carolina,7,716890
431,Florida,27,713364
432,Washington,10,711868
433,Texas,36,711857
434,California,53,711308
435,Minnesota,8,710231
436,North Carolina,14,709063
437,Missouri,9,708459
438,New York,28,706337
439,New Jersey,13,705164
440,Montana,2,703158
